2017-10-24 17:56:04.476692 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 83.06%
C =       0.062500; acc = 85.25%
C =       0.125000; acc = 86.57%
C =       0.250000; acc = 87.88%
C =       0.500000; acc = 88.92%
C =       1.000000; acc = 89.98%
C =       2.000000; acc = 90.74%
C =       4.000000; acc = 90.99%
C =       8.000000; acc = 90.89%
C =      16.000000; acc = 90.89%
C =      32.000000; acc = 90.89%
C =      64.000000; acc = 90.89%
C =     128.000000; acc = 90.89%
C =     256.000000; acc = 90.89%
C =     512.000000; acc = 90.89%
C =    1024.000000; acc = 90.89%
C =    2048.000000; acc = 90.89%
C =    4096.000000; acc = 90.89%
C =    8192.000000; acc = 90.89%
C =   16384.000000; acc = 90.89%
2017-10-24 22:32:14.000461 Finish.
Total elapsed time: 04:36:10.00.
