2017-10-24 17:55:17.321350 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 5.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.80%
C =       0.062500; acc = 80.27%
C =       0.125000; acc = 80.74%
C =       0.250000; acc = 80.48%
C =       0.500000; acc = 79.89%
C =       1.000000; acc = 79.68%
C =       2.000000; acc = 79.15%
C =       4.000000; acc = 79.08%
C =       8.000000; acc = 79.04%
C =      16.000000; acc = 79.04%
C =      32.000000; acc = 79.04%
C =      64.000000; acc = 79.04%
C =     128.000000; acc = 79.04%
C =     256.000000; acc = 79.04%
C =     512.000000; acc = 79.04%
C =    1024.000000; acc = 79.04%
C =    2048.000000; acc = 79.04%
C =    4096.000000; acc = 79.04%
C =    8192.000000; acc = 79.04%
C =   16384.000000; acc = 79.04%
2017-10-24 22:20:12.839852 Finish.
Total elapsed time: 04:24:55.84.
